date	close
2016-08-18	2947
2016-08-19	1824
2016-08-20	1061
2016-08-21	1012
2016-08-22	2025
2016-08-23	2332
2016-08-24	2436
2016-08-25	2262
2016-08-26	2032
2016-08-27	1057
2016-08-28	940
2016-08-29	2262
2016-08-30	2472
2016-08-31	2674
2016-09-01	2732
2016-09-02	2375
2016-09-03	1155
2016-09-04	935
2016-09-05	2482
2016-09-06	2613
2016-09-07	2740
2016-09-08	2607
2016-09-09	2218
2016-09-10	1001
2016-09-11	962
2016-09-12	2789
2016-09-13	5514
2016-09-14	6348
2016-09-15	6364
2016-09-16	5837
2016-09-17	2982
2016-09-18	3024
2016-09-19	8424
2016-09-20	8132
2016-09-21	7880
2016-09-22	7701
2016-09-23	6195
2016-09-24	3111
2016-09-25	3053
2016-09-26	8711
2016-09-27	9356
2016-09-28	4985
2016-09-29	8244
2016-09-30	6495
2016-10-01	3403
2016-10-02	2921
2016-10-03	10541
2016-10-04	11555
2016-10-05	12458
2016-10-06	11763
2016-10-07	8220
2016-10-08	3238
2016-10-09	2821
2016-10-10	10551
2016-10-11	11651
2016-10-12	12010
2016-10-13	11030
2016-10-14	8046
2016-10-15	3669
2016-10-16	3121
2016-10-17	10626
2016-10-18	10816
2016-10-19	10943
2016-10-20	10403
2016-10-21	8174
2016-10-22	3410
2016-10-23	2874
2016-10-24	10427
2016-10-25	10709
2016-10-26	10612
2016-10-27	9394
2016-10-28	3774
2016-10-29	2933
2016-10-30	2965
2016-10-31	9993
2016-11-01	9462
2016-11-02	8041
2016-11-03	7931
2016-11-04	6341
2016-11-05	3077
2016-11-06	2559
